"Id","cateId","picB","name","describe","price"
"DYAF13-A9007Z1GM","DYAF13","000001_1489735402.jpg","2 in 1 bamboo charging base Apple Watch+iPhone charging stand / mobile phone holder","2 in 1 bamboo charging base Apple Watch+iPhone charging stand / mobile phone holder for iPhone7/7plus/6S/6S Plus/6/6 Plus/5 birthday gift  mobile phone + Apple watch watch charging base has a small and lightweight features   suitable for the office, home   easy to charge the apple watch",399
"DYAJDR-19009JGT8","DYAJDT","000001_1555383734.jpg","Apple iPhone Xs Max (256G)-Gold (MT552TA/A)","Gold send glass to protect Apple iPhone Xs Max (256G) - gold  market price $ 45500. Special offer 4 $41999  Buy now the province $3501 iphone xs max screen The diagonal length is 6.46 . The actual viewable area may be small. Related Note Because this product is a special 3c product, after the product is connected to the Internet (including wifi), login to the apple id or link to itunes, this The item is registered and begins to calculate the product warranty time, and the warranty date of the item is calculated after registration and cannot be restored! In the future, when the return is required, the company confirms that if the product has been opened for warranty, additional fees may be required. Do not connect this item to the Internet until you are sure you want to return it, to avoid inadvertently starting the warranty period. If you claim the seven-day appreciation period, please restore the original product including packaging, accessories, etc.; once the product is registered, you may need to pay additional fees.",41999
"DYAJDN-A9009N87T","DYAJDN","000001_1555379017.jpg","Apple iPhone XR (64G) - Red (MRY62TA/A)","Daily strongmad kill sale  red  send wireless charging board Apple iPhone XR (64G) - red  only one day  limited time mad The display has a rounded corner design. When measuring in a rectangular shape, the diagonal length of the iphone xr screen is 6.06 . The actual viewable area may be small. The anti-splash and water-repellent functions are non-permanent and may decrease with the wear and tear caused by daily use. Do not charge your wet iPhone; refer to the instruction manual for cleaning and drying instructions. Damage caused by liquids is not covered by the warranty. Because this product is a special 3c product, the product is registered and started after the product is connected to the Internet (including wifi), login to the apple id or linked to itunes. Calculate the warranty period of the product, and the warranty date of the product will be calculated after registration, and cannot be restored! In the future, when the return is required, the company confirms that if the product has been opened for warranty, additional fees may be required. Do not connect this item to the Internet until you are sure you want to return it, to avoid inadvertently starting the warranty period.",25288
"DYAJ8H-A9008TS5F","DYAJ8I","000001_1546576470.jpg","Welfare Products - Apple iPhone 7 128GB","Welfare Products  Limited Edition Apple iPhone 7 128Ga10 Chip Processor
1200 million pixels main camera
700 million pixels front lens  waterproof Dust-proof level
touch id Fingerprint identification",11900
"DYAJCX-A9009UFV0","DYAJ9Y","000001_1554781348.jpg","Apple iPhone 8 (64G) - Space Gray","Space Gray  mad down $1501 Apple iPhone 8 (64G)  market price $ 21500. Special offer 1999 $19999
 now buy the current province $1501
 limited special kill ~ any return price ~! ! 

 4.7 retina hd monitor with true tone
 Full glass and aluminum metal body design
 Anti-splash water and dust proof function
 12 million pixels Camera with optical image stabilization (ois)
 4k film shooting (up to 60 fps)
 7 megapixel facetime hd camera
 touch id for secure authentication and apple pay
 a11 bionic smart phone chip
 wireless charging (can be used with qi charger)

iphone8 Featured accessories:
iphone original protection Shell
 iphone 8 Protector

Legal Notice
 1. Charging board sold separately. 
2. Both the iphone 8 and the iphone 8 plus are flood- and water-repellent and have been tested under controlled laboratory conditions to achieve the i ip67 rating. The anti-splash and water-repellent functions are non-permanent and may decrease with the wear and tear caused by daily use. 
Do not charge your wet iphone; refer to the instruction manual for cleaning and drying instructions. Damage caused by liquids is not covered by the warranty. 
3. The display size is the diagonal length. 
4.facetime Both parties need to use the facetime function device
 to connect with wi-fi. The application of the mobile network depends on the carrier's solution; data services may be subject to payment. 


Related note
  Because this product is a special 3c product, after the product is connected to the Internet (including wifi), login to the apple id or link to itunes, this The item is registered and begins to calculate the product warranty time, and the warranty date of the item is calculated after registration and cannot be restored! In the future, when the return is required, the company confirms that if the product has been opened for warranty, additional fees may be required. Do not connect this item to the Internet until you are sure you want to return it, to avoid inadvertently starting the warranty period. If you claim the seven-day appreciation period, please restore the original product ( including packaging, accessories, etc.; once the product is registered, you may need to pay additional fees). You confirm that you have read the above instructions and agree to the order on this page to agree to the terms. Please forgive me for your inconvenience. ",19999
"DYAJDN-A9009H4QZ","DYAJDN","000001_1554948610.jpg","Apple iPhone XR (64G) - Black (MRY42TA/A)","Black  send premium accessories group Apple iPhone XR (64G) - black   send wireless charging board + shell stickers   6.1  liquid retina display (lcd)    ip67 level Anti-splash and water-proof function (up to 30 minutes in the deepest 1 meter water)
 12 megapixel camera (with optical image stabilization) and 7 megapixel original deep sensing front camera, both With portrait mode, portrait light, depth of field control and smart hdr function
 face id, for secure authentication and apple pay 
 a12 bionic, with a new generation of neural network engine
 wireless Charging (can be used with qi charger)
 ios 12 with memoji, screen usage time, siri shortcut and group facetime function

============ ==============

iphone xrshell
iphone xr 
============================================================================================= For rectangular measurements, the iphone xr screen has a diagonal length of 6.06 . The actual viewable area may be small. 
2.iphone xr is water and dust proof and has been tested in controlled laboratory environment to achieve ipk 60529 ip67 rating (up to 30 minutes in the deepest 1 meter water) . The anti-splash and water-repellent functions are non-permanent and may decrease with the wear and tear caused by daily use. Do not charge your wet iPhone; refer to the instruction manual for cleaning and drying instructions. Damage caused by liquids is not covered by the warranty. 
3.apple pay is not available in all markets. See www.apple.com tw ios feature-availability #apple-pay
 See a list of countries or regions where apple pay is available. 
4.qi Wireless charger sold separately. 
5. The group facetime feature will be available on iOS 12 via software update later this year. 

Related Note
  Because this product is a special 3c product, the product is registered and started after the product is connected to the Internet (including wifi), login to the apple id or linked to itunes. Calculate the warranty period of the product, and the warranty date of the product will be calculated after registration, and cannot be restored! In the future, when the return is required, the company confirms that if the product has been opened for warranty, additional fees may be required. Do not connect this item to the Internet until you are sure you want to return it, to avoid inadvertently starting the warranty period. If you claim the seven-day appreciation period, please restore the original product ( including packaging, accessories, etc.; once the product is registered, you may need to pay additional fees). You confirm that you have read the above instructions and agree to the order on this page to agree to the terms. Please forgive me for your inconvenience. ",25888
"DYAJDG-A9009N8Q2","DYAJDG","000001_1553652419.jpg","Apple iPhone Xs (256G)","Gray l silver  limited time to spend $ 2501 Apple iPhone Xs (256G)  market price $ 41500. Special offer 38 $38999
 Buy now save $2501
 limited special kill ~ any return price ~! ! 

 5.8  super retina display (oled) with hdr
 ip68 level dustproof and anti-splashing function (up to 30 minutes in the deepest 2 meters water) 12 megapixel dual lens camera (with optical image stabilization dual lens) and 7 megapixel original deep sensing front camera with portrait mode, portrait light, depth of field control and smart hdr function
face Id, for security authentication and apple pay
 a12 bionic, with a new generation of neural network engine
 wireless charging (can be used with qi charger)
 ios 12, with memoji, screen Use time, siri shortcuts and group facetime functions

Legal Notices

1. The display has a rounded corner design. When measuring in a rectangle, the diagonal length of the iphone xs screen is 5.85. The actual viewable area may be small. 
2. iphone xs is water- and water-repellent and has been tested in controlled laboratory environment to achieve ibp 60529 ip68 rating (up to 30 minutes in the deepest 2 meters of water) . The anti-splash and water-repellent functions are non-permanent and may decrease with the wear and tear caused by daily use. Do not charge your wet iPhone; refer to the instruction manual for cleaning and drying instructions. Damage caused by liquids is not covered by the warranty. 
3. Apple pay is not available in all markets. 
 See www.apple.com tw ios feature-availability #apple-pay See a list of countries or regions where apple pay is available. 
4. qi Wireless charger sold separately. 
5. The group facetime feature will be available in iOS 12 via software update later this year. 


 Related Note 
  Because this product is a special 3c product, after the product is connected to the Internet (including wifi), login to the apple id or link to itunes, this The item is registered and begins to calculate the product warranty time, and the warranty date of the item is calculated after registration and cannot be restored! In the future, when the return is required, the company confirms that if the product has been opened for warranty, additional fees may be required. Do not connect this item to the Internet until you are sure you want to return it, to avoid inadvertently starting the warranty period. If you claim the seven-day appreciation period, please restore the original product ( including packaging, accessories, etc.; once the product is registered, you may need to pay additional fees). You confirm that you have read the above instructions and agree to the order on this page to agree to the terms. Please forgive me for your inconvenience. ",38999
"DYAJDF-A9009EQNF","DYAJDF","000001_1553479796.jpg","Apple iPhone Xs (64G) - Gold (MT9G2TA/A)","Gold  send glass to protect Apple iPhone Xs (64G) - gold  market price $ 35900. Special offer 340 $34099
 Buy now save the province $1801
 limited plus code to send glass stickers! ! 

 5.8  super retina display (oled) with hdr
 ip68 level dustproof and anti-splashing function (up to 30 minutes in the deepest 2 meters water) 12 megapixel dual lens camera (with optical image stabilization dual lens) and 7 megapixel original deep sensing front camera with portrait mode, portrait light, depth of field control and smart hdr function
face Id, for security authentication and apple pay
 a12 bionic, with a new generation of neural network engine
 wireless charging (can be used with qi charger)
 ios 12, with memoji, screen Use time, siri shortcuts and group facetime functions

================================= I bought iphone xs accessories
 iphone xs shell
 iphone xs stickers
================== ========


Legal Notices

1. The monitor has a rounded corner design. When measuring in a rectangle, the diagonal length of the iphone xs screen is 5.85 . The actual viewable area may be small. 
2. iphone xs is water- and water-repellent and has been tested in controlled laboratory environment to achieve ibp 60529 ip68 rating (up to 30 minutes in the deepest 2 meters of water) . The anti-splash and water-repellent functions are non-permanent and may decrease with the wear and tear caused by daily use. Do not charge your wet iPhone; refer to the instruction manual for cleaning and drying instructions. Damage caused by liquids is not covered by the warranty. 
3. Apple pay is not available in all markets. 
 See www.apple.com tw ios feature-availability #apple-pay See a list of countries or regions where apple pay is available. 
4. qi Wireless charger sold separately. 
5. The group facetime feature will be available in iOS 12 via software update later this year. 


 Related Note 
  Because this product is a special 3c product, after the product is connected to the Internet (including wifi), login to the apple id or link to itunes, this The item is registered and begins to calculate the product warranty time, and the warranty date of the item is calculated after registration and cannot be restored! In the future, when the return is required, the company confirms that if the product has been opened for warranty, additional fees may be required. Do not connect this item to the Internet until you are sure you want to return it, to avoid inadvertently starting the warranty period. If you claim the seven-day appreciation period, please restore the original product ( including packaging, accessories, etc.; once the product is registered, you may need to pay additional fees). You confirm that you have read the above instructions and agree to the order on this page to agree to the terms. Please forgive me for your inconvenience. ",34099
"DYAJ2N-A9009PUGA","DYAJ2N","000001_1546938527.jpg","[welfare] Apple iPhone 8 plus 64GB","90% New Original Boxed+Original AccessoriesApple iPhone 8 plus 64G5.5 ips Touch Screen
a11 bionic Processor
Double 12 million Isight lens
front camera 7 million pixels
support touch id fingerprint identification",19900
"DYAJ93-A900929I2","DYAJ93","000001_1554691189.jpg","Apple iPhone X (256G) - Space Gray","Space gray  send premium accessories group Apple iPhone X (256G)   send mfi transmission line + shell + security stickers   5.8  super retina hd display with hdr and true tone
  All-glass and stainless steel body design
 Anti-splash and water-proof function
 12 million dual-lens camera with optical image stabilization
 Portrait mode, portrait light and 4k film shooting Function (up to 60 fps)
 7 megapixel truedepth front camera
face id for secure authentication and apple pay
 a11 bionic smart phone chip
 wireless Charging (can be used with qi charger)

iphone x
 iphone original protective case
iphone x multi-category stickers

 Legal Notice
 1.iphone x The display has a rounded corner design. When measuring in a rectangular manner, the diagonal length of the screen is 5.85 . The actual viewable area may be small. 
2. The charging board is sold separately. 
3.iphone x is water- and water-repellent and has been tested in laboratory environment with controlled tubes to an ip67 rating of the iec 60529 standard. The anti-splash and water-repellent functions are non-permanent and may decrease with the wear and tear caused by daily use. Do not charge your wet iphone; refer to the instruction manual for cleaning and drying instructions. Damage caused by liquids is not covered by the warranty. 
4. Portrait Light is available in beta. 

 Related Note
  Because this product is a special 3c product, this product is registered after the product is connected to the Internet (including wifi), login to the apple id or linked to itunes. And start to calculate the product warranty time, and after the registration, the warranty date of this product begins to calculate, can not be restored! In the future, when the return is required, the company confirms that if the product has been opened for warranty, additional fees may be required. Do not connect this item to the Internet until you are sure you want to return it, to avoid inadvertently starting the warranty period. If you claim the seven-day appreciation period, please restore the original product ( including packaging, accessories, etc.; once the product is registered, you may need to pay additional fees). You confirm that you have read the above instructions and agree to the order on this page to agree to the terms. Please forgive me for your inconvenience. ",31999
